,test_name,correlated_tests,urls
10,[sig-builds][Feature:Builds] prune builds based on settings in the buildconfig  should prune failed builds based on the failedBuildsHistoryLimit setting,"[('[sig-builds][Feature:Builds] prune builds based on settings in the buildconfig  should prune canceled builds based on the failedBuildsHistoryLimit setting', 0.908153218373004), ('[sig-devex][Feature:OpenShiftControllerManager] TestDockercfgTokenDeletedController', 0.908153218373004), ('[sig-imageregistry][Feature:ImageTriggers] Image change build triggers TestSimpleImageChangeBuildTriggerFromImageStreamTagDocker', 0.908153218373004), ('[sig-imageregistry][Feature:ImageTriggers] Image change build triggers TestSimpleImageChangeBuildTriggerFromImageStreamTagSTIWithConfigChange', 0.908153218373004)]","['https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291269757735014400', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-aws-ovn-4.6/1291592782258900992', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1291835183837745152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291480293290545152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1290553685616627712']"
11,[sig-cli] oc explain networking types when using openshift-sdn should contain proper fields description for special networking types,"[('[sig-auth][Feature:OAuthServer] OAuth server has the correct token and certificate fallback semantics', 1.0)]","['https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291269757735014400', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291480293290545152']"
12,[sig-imageregistry][Feature:Image] oc tag should preserve image reference for external images,"[('[sig-auth][Feature:OpenShiftAuthorization] RBAC proxy for openshift authz  RunLegacyLocalRoleEndpoint should succeed', 1.0), ('[sig-builds][Feature:Builds][webhook] TestWebhookGitHubPushWithImage', 1.0), ('[sig-network-edge][Conformance][Area:Networking][Feature:Router] The HAProxy router should pass the h2spec conformance tests', 1.0), (""[sig-network] multicast when using one of the plugins 'redhat/openshift-ovs-multitenant, redhat/openshift-ovs-networkpolicy' should allow multicast traffic in namespaces where it is enabled"", 1.0)]","['https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291269757735014400', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1291835183837745152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1290553685616627712']"
13,[sig-operator] an end user can use OLM Report Upgradeable in OLM ClusterOperators status,"[('[sig-auth][Feature:UserAPI] users can manipulate groups', 1.0), ('[sig-builds][Feature:Builds] s2i build with a root user image should create a root build and fail without a privileged SCC', 1.0)]","['https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291269757735014400', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-aws-ovn-4.6/1291592782258900992', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1291835183837745152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1290553685616627712']"
14,[sig-api-machinery][Feature:APIServer] anonymous browsers should get a 403 from /,"[('[sig-api-machinery][Feature:APIServer] authenticated browser should get a 200 from /', 1.0), ('[sig-apps][Feature:DeploymentConfig] deploymentconfigs should respect image stream tag reference policy resolve the image pull spec', 1.0), ('[sig-auth][Feature:OpenShiftAuthorization] authorization  TestAuthorizationSubjectAccessReview should succeed', 1.0), ('[sig-auth][Feature:ProjectAPI]  TestProjectWatchWithSelectionPredicate should succeed', 1.0), ('[sig-auth][Feature:SecurityContextConstraints]  TestPodUpdateSCCEnforcement', 1.0), ('[sig-builds][Feature:Builds] prune builds based on settings in the buildconfig  should prune builds after a buildConfig change', 1.0), ('[sig-devex][Feature:OpenShiftControllerManager] TestAutomaticCreationOfPullSecrets', 1.0), ('[sig-imageregistry][Feature:ImageLookup] Image policy should perform lookup when the object has the resolve-names annotation', 1.0), ('[sig-imageregistry][Feature:Image] oc tag should change image reference for internal images', 1.0), ('[sig-network] network isolation when using a plugin that isolates namespaces by default should allow communication from default to non-default namespace on a different node', 1.0), ('[sig-network] services when using a plugin that isolates namespaces by default should allow connections from pods in the default namespace to a service in another namespace on a different node', 1.0)]","['https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291269757735014400', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1291835183837745152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291480293290545152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1290553685616627712']"
15,[sig-api-machinery][Feature:APIServer] authenticated browser should get a 200 from /,"[('[sig-api-machinery][Feature:APIServer] anonymous browsers should get a 403 from /', 1.0), ('[sig-apps][Feature:DeploymentConfig] deploymentconfigs should respect image stream tag reference policy resolve the image pull spec', 1.0), ('[sig-auth][Feature:OpenShiftAuthorization] authorization  TestAuthorizationSubjectAccessReview should succeed', 1.0), ('[sig-auth][Feature:ProjectAPI]  TestProjectWatchWithSelectionPredicate should succeed', 1.0), ('[sig-auth][Feature:SecurityContextConstraints]  TestPodUpdateSCCEnforcement', 1.0), ('[sig-builds][Feature:Builds] prune builds based on settings in the buildconfig  should prune builds after a buildConfig change', 1.0), ('[sig-devex][Feature:OpenShiftControllerManager] TestAutomaticCreationOfPullSecrets', 1.0), ('[sig-imageregistry][Feature:ImageLookup] Image policy should perform lookup when the object has the resolve-names annotation', 1.0), ('[sig-imageregistry][Feature:Image] oc tag should change image reference for internal images', 1.0), ('[sig-network] network isolation when using a plugin that isolates namespaces by default should allow communication from default to non-default namespace on a different node', 1.0), ('[sig-network] services when using a plugin that isolates namespaces by default should allow connections from pods in the default namespace to a service in another namespace on a different node', 1.0)]","['https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291269757735014400', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1291835183837745152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291480293290545152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1290553685616627712']"
16,[sig-apps][Feature:DeploymentConfig] deploymentconfigs should respect image stream tag reference policy resolve the image pull spec,"[('[sig-api-machinery][Feature:APIServer] anonymous browsers should get a 403 from /', 1.0), ('[sig-api-machinery][Feature:APIServer] authenticated browser should get a 200 from /', 1.0), ('[sig-auth][Feature:OpenShiftAuthorization] authorization  TestAuthorizationSubjectAccessReview should succeed', 1.0), ('[sig-auth][Feature:ProjectAPI]  TestProjectWatchWithSelectionPredicate should succeed', 1.0), ('[sig-auth][Feature:SecurityContextConstraints]  TestPodUpdateSCCEnforcement', 1.0), ('[sig-builds][Feature:Builds] prune builds based on settings in the buildconfig  should prune builds after a buildConfig change', 1.0), ('[sig-devex][Feature:OpenShiftControllerManager] TestAutomaticCreationOfPullSecrets', 1.0), ('[sig-imageregistry][Feature:ImageLookup] Image policy should perform lookup when the object has the resolve-names annotation', 1.0), ('[sig-imageregistry][Feature:Image] oc tag should change image reference for internal images', 1.0), ('[sig-network] network isolation when using a plugin that isolates namespaces by default should allow communication from default to non-default namespace on a different node', 1.0), ('[sig-network] services when using a plugin that isolates namespaces by default should allow connections from pods in the default namespace to a service in another namespace on a different node', 1.0)]","['https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291269757735014400', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1291835183837745152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291480293290545152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1290553685616627712']"
17,[sig-apps][Feature:DeploymentConfig] deploymentconfigs when run iteratively should immediately start a new deployment,"[('[sig-network][Feature:Router] The HAProxy router should expose the profiling endpoints', 0.908153218373003)]","['https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291269757735014400', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1291835183837745152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291480293290545152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1290553685616627712', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-aws-ovn-4.6/1291306984225640448']"
18,[sig-apps][Feature:OpenShiftControllerManager] TestDeploymentConfigDefaults,"[('[sig-imageregistry][Feature:Image] signature TestImageAddSignature', 1.0), ('[sig-network] services when using a plugin that isolates namespaces by default should prevent connections to pods in different namespaces on different nodes via service IPs', 1.0)]","['https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291269757735014400', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291480293290545152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1290553685616627712', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1290697393284583424']"
19,[sig-apps][Feature:OpenShiftControllerManager] TestTriggers_configChange,"[('[sig-builds][Feature:Builds] prune builds based on settings in the buildconfig  should prune errored builds based on the failedBuildsHistoryLimit setting', 0.9081532183730032), ('[sig-instrumentation][sig-builds][Feature:Builds] Prometheus when installed on the cluster should start and expose a secured proxy and verify build metrics', 1.0), ('[sig-auth][Feature:RoleBindingRestrictions] RoleBindingRestrictions should be functional  Rolebinding restrictions tests single project should succeed', 1.0), ('[sig-devex][Feature:Templates] template-api TestTemplate', 0.9081532183730033), ('[sig-auth][Feature:OpenShiftAuthorization] authorization  TestClusterReaderCoverage should succeed', 1.0), ('[sig-auth][Feature:OpenShiftAuthorization] scopes TestUnknownScopes should succeed', 0.9081532183730032), ('[sig-auth][Feature:OpenShiftAuthorization] self-SAR compatibility  TestSelfSubjectAccessReviewsNonExistingNamespace should succeed', 1.0), ('[sig-builds][Feature:Builds] Optimized image builds  should succeed', 0.9081532183730033), ('[sig-builds][Feature:Builds][valueFrom] process valueFrom in build strategy environment variables  should successfully resolve valueFrom in docker build environment variables', 0.9081532183730032)]","['https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291269757735014400', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1291835183837745152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291480293290545152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1290553685616627712', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1290697393284583424']"
20,[sig-auth][Feature:Authentication]  TestFrontProxy should succeed,"[('[sig-imageregistry][Feature:ImageTriggers] Image change build triggers TestMultipleImageChangeBuildTriggers', 1.0)]","['https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291269757735014400', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1291835183837745152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291480293290545152']"
21,[sig-auth][Feature:OAuthServer] ClientSecretWithPlus should create oauthclient,"[('[sig-auth][Feature:OpenShiftAuthorization] scopes TestUnknownScopes should succeed', 0.9081532183730032), ('[sig-network] network isolation when using a plugin that isolates namespaces by default should allow communication from non-default to default namespace on a different node', 1.0)]","['https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291269757735014400', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-aws-ovn-4.6/1291592782258900992', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291480293290545152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1290553685616627712', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1290697393284583424']"
22,[sig-auth][Feature:OAuthServer] OAuth Authenticator accepts sha256 access tokens,"[('[sig-auth][Feature:OpenShiftAuthorization] scopes TestScopedImpersonation should succeed', 0.9209854970162614)]","['https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291269757735014400', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1291835183837745152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291480293290545152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1290553685616627712', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-aws-ovn-4.6/1290755956526813184', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1290528327995494400']"
23,[sig-auth][Feature:OAuthServer] [Headers] expected headers returned from the token URL,"[('[sig-auth][Feature:OpenShiftAuthorization] scopes TestScopedTokens should succeed', 0.9081532183730024)]","['https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291269757735014400', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1291835183837745152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291480293290545152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1290553685616627712', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-aws-ovn-4.6/1291582581233422336']"
